id,producto,categoria,fecha,precio,cantidad
1,Cargador,Periféricos,2025-02-26,436.23,3
2,Disco Duro Externo,Telefonía,2025-05-01,72.58,1
3,Papel,Electrónica,2024-08-25,592.81,2
4,Smartwatch,Telefonía,2024-11-20,1095.27,1
5,Auriculares,Electrónica,2025-04-25,1175.07,9
6,Monitor,Informática,2025-04-30,603.26,7
7,Ratón,Electrónica,2024-10-17,1244.07,3
8,Cargador,Periféricos,2025-05-06,839.77,4
9,Papel,Informática,2024-08-10,469.73,8
10,Disco Duro Externo,Telefonía,2025-04-27,281.15,4
11,Memoria USB,Telefonía,2025-04-20,894.34,7
12,Funda móvil,Oficina,2024-08-04,824.39,8
13,Smartwatch,Informática,2024-08-26,248.32,9
14,Webcam,Informática,2024-10-26,345.68,7
15,Tinta,Periféricos,2025-03-10,279.72,9
16,Tableta,Periféricos,2024-08-23,414.56,6
17,Ratón,Informática,2025-04-29,344.69,6
18,Cable HDMI,Oficina,2024-11-17,429.36,6
19,Altavoz Bluetooth,Periféricos,2025-03-20,1135.38,2
20,Smartwatch,Oficina,2025-04-10,468.13,6
21,Webcam,Periféricos,2025-04-20,12.27,4
22,Disco Duro Externo,Accesorios,2025-06-18,570.65,7
23,Altavoz Bluetooth,Periféricos,2024-10-25,774.46,9
24,Funda móvil,Periféricos,2025-03-08,460.49,1
25,Tableta,Electrónica,2025-03-03,587.15,9
26,Cable HDMI,Oficina,2024-12-10,180.46,9
27,Altavoz Bluetooth,Informática,2025-04-05,306.05,6
28,Impresora,Informática,2024-10-28,530.56,5
29,Smartphone,Telefonía,2025-03-10,368.69,8
30,Tableta,Informática,2024-12-15,879.86,8
31,Router,Accesorios,2025-05-12,253.44,3
32,Disco Duro Externo,Oficina,2025-02-03,776.41,2
33,Tableta,Oficina,2024-10-22,101.18,3
34,Auriculares,Periféricos,2024-07-23,600.07,8
35,Ratón,Telefonía,2024-08-26,597.99,6
36,Laptop,Accesorios,2025-03-29,1492.22,2
37,Papel,Informática,2025-01-15,1409.2,1
38,Cámara digital,Telefonía,2025-01-10,562.51,8
39,Monitor,Accesorios,2024-11-12,259.07,4
40,Funda móvil,Periféricos,2024-09-07,1315.72,9
41,Smartwatch,Informática,2024-11-13,853.82,2
42,Laptop,Informática,2024-11-10,1353.39,5
43,Tinta,Informática,2024-08-13,975.41,1
44,Cable HDMI,Oficina,2025-06-21,1148.94,3
45,Memoria USB,Telefonía,2025-05-03,411.72,2
46,Laptop,Periféricos,2024-10-21,492.08,3
47,Smartphone,Informática,2025-02-19,1357.85,1
48,Router,Oficina,2025-04-02,39.94,4
49,Funda móvil,Oficina,2025-05-11,1405.26,1
50,Cargador,Oficina,2025-03-02,382.58,7
51,Tinta,Oficina,2025-06-04,78.29,1
52,Tinta,Electrónica,2024-09-10,698.87,7
53,Cargador,Telefonía,2025-03-25,1133.22,4
54,Webcam,Periféricos,2024-08-24,696.15,4
55,Cable HDMI,Accesorios,2024-08-13,388.74,3
56,Funda móvil,Periféricos,2025-06-17,1376.95,6
57,Tinta,Informática,2024-08-04,296.79,7
58,Ratón,Telefonía,2025-06-08,917.09,9
59,Tableta,Periféricos,2025-05-15,925.31,3
60,Webcam,Oficina,2024-12-29,322.05,3
61,Memoria USB,Periféricos,2024-08-06,139.03,3
62,Tinta,Informática,2024-07-21,319.07,2
63,Laptop,Accesorios,2025-05-22,978.83,7
64,Cámara digital,Informática,2024-10-15,33.63,3
65,Teclado,Electrónica,2024-08-23,508.43,8
66,Papel,Accesorios,2025-05-22,1448.47,4
67,Cable HDMI,Oficina,2024-09-25,93.9,9
68,Funda móvil,Electrónica,2024-10-06,180.55,2
69,Tableta,Accesorios,2025-03-22,1378.77,7
70,Laptop,Oficina,2024-12-28,1078.33,8
71,Ratón,Telefonía,2024-07-25,824.87,7
72,Monitor,Informática,2025-01-23,361.26,9
73,Ratón,Periféricos,2024-09-03,633.52,3
74,Monitor,Telefonía,2024-11-17,1053.2,4
75,Laptop,Telefonía,2024-10-29,84.45,7
76,Monitor,Accesorios,2025-02-09,772.25,1
77,Tinta,Oficina,2024-08-07,611.84,6
78,Funda móvil,Periféricos,2024-10-27,273.62,4
79,Cámara digital,Oficina,2025-02-27,323.14,7
80,Smartphone,Informática,2025-01-05,1362.94,6
81,Disco Duro Externo,Periféricos,2024-12-25,1432.8,5
82,Smartphone,Oficina,2024-08-19,1061.71,6
83,Papel,Electrónica,2025-07-12,1112.12,1
84,Altavoz Bluetooth,Accesorios,2024-11-01,674.26,7
85,Disco Duro Externo,Periféricos,2024-09-08,221.7,5
86,Teclado,Electrónica,2024-11-27,569.45,4
87,Altavoz Bluetooth,Periféricos,2024-11-27,1476.05,4
88,Cámara digital,Telefonía,2025-03-03,869.26,7
89,Router,Periféricos,2024-10-20,1310.07,4
90,Webcam,Accesorios,2024-12-11,1034.47,2
91,Teclado,Telefonía,2025-06-22,1431.25,2
92,Tinta,Electrónica,2024-09-14,1175.07,2
93,Webcam,Oficina,2025-03-11,1042.13,2
94,Webcam,Oficina,2024-11-08,328.62,8
95,Smartwatch,Telefonía,2025-06-08,52.67,1
96,Auriculares,Informática,2024-08-05,535.25,5
97,Impresora,Electrónica,2025-02-12,136.55,8
98,Smartwatch,Periféricos,2025-04-01,974.42,2
99,Disco Duro Externo,Periféricos,2025-04-15,899.56,8
100,Cable HDMI,Accesorios,2025-05-15,781.54,5
